team,player,position,dob,start,tour,place,prize,startelo32,endelo32,startelo64,endelo64
Evil Geniuses,cr1t,4,1996-07-13,2018-01-19,Galaxy Battles II: Emerging Worlds,2,85000.0,1119.8114891389866,1142.2985849070544,1176.84301110113,1205.7977327002627
Evil Geniuses,cr1t,4,1996-07-13,2018-01-04,Captains Draft 4.0,5,12000.0,1110.1742498803474,1104.2248647421254,1144.3759591487894,1148.3619091526755
Evil Geniuses,cr1t,4,1996-07-13,2017-12-13,DOTA Summit 8,6,9000.0,1163.8700016111218,1112.9402195227683,1253.0346867985534,1132.7766419413608
Evil Geniuses,cr1t,4,1996-07-13,2017-10-19,PGL Open Bucharest,3,30000.0,1122.2009637226113,1098.4730241651455,1157.0756279327534,1143.2740767641772
Evil Geniuses,cr1t,5,1996-07-13,2016-12-17,China Top 2016,1,114952.0,1168.0526558297345,1166.9002947611878,1250.495001906226,1248.7773218931547
OG,cr1t,4,1996-07-13,2016-05-21,DreamLeague Season 5,1,50000.0,1176.391077935983,1216.3343801798092,1247.5268406785913,1319.490792250699
OG,cr1t,4,1996-07-13,2015-09-29,ASUS ROG DreamLeague Season 4,1,55000.0,,1293.6071745926185,,1474.2282625809512
(monkey) Business,cr1t,4,1996-07-13,2015-09-21,World Cyber Arena 2015 - European Pro Qualifiers,5,3000.0,,,,
Meet Your Makers,cr1t,5,1996-07-13,2014-04-03,Fragbite Masters 2014,3,3000.0,,,,
Mousesports,cr1t,5,1996-07-13,2013-10-21,Fragbite Masters 2013,5,836.0,1115.6531755267938,1010.9504485116536,1185.6729206561681,1078.1014088489446
Mousesports,cr1t,5,1996-07-13,2013-12-04,Netolic Pro League #4 West,3,1000.0,971.8931126286267,949.4455133024367,992.9720820580943,957.7433564461787
We haz Asian,cr1t,2,1996-07-13,2012-08-17,Samsung European Encounter,1,3694.0,,,,
Evil Geniuses,cr1t,4,1996-07-13,2017-12-01,DreamLeague Season 8,3,100000.0,1140.686838676624,1175.542477615041,1217.1710154928392,1271.058371919545
Evil Geniuses,cr1t,4,1996-07-13,2017-10-26,ESL One Hamburg 2017,5,40000.0,1082.5915260829795,1095.80622629609,1113.7678774011513,1134.4358595398649
Evil Geniuses,cr1t,5,1996-07-13,2017-08-02,The International 2017,9,370319.0,1141.0440702474132,1136.7938636689921,1186.018966425529,1179.4802077598522
Evil Geniuses,cr1t,5,1996-07-13,2017-07-05,Mars Dota 2 League 2017,5,12500.0,1207.3831838696844,1174.1141777399878,1295.3095809409854,1216.3633939577778
Evil Geniuses,cr1t,5,1996-07-13,2017-06-04,EPICENTER 2017,2,100000.0,1191.5446101026794,1244.093187287294,1364.4690964178658,1359.9500939009042
Evil Geniuses,cr1t,5,1996-07-13,2017-05-25,The Manila Masters,1,125000.0,1172.1745565426218,1200.996211588939,1260.9420939374934,1382.4535056453165
Evil Geniuses,cr1t,5,1996-07-13,2017-04-24,The Kiev Major 2017,3,250000.0,1122.8922683925364,1150.1266107618699,1148.7770869898222,1206.468584741218
Evil Geniuses,cr1t,5,1996-07-13,2017-03-27,Dota 2 Asia Championships 2017,5,36719.0,1148.0512675309649,1175.7536440477734,1209.6321506293746,1251.3635163005542
Evil Geniuses,cr1t,5,1996-07-13,2016-12-03,The Boston Major 2016,3,250000.0,1169.6404702703305,1176.345067350784,1245.368135143586,1262.855458987469
Evil Geniuses,cr1t,5,1996-07-13,2016-11-16,The Summit 6,3,13000.0,1192.9071046277984,1203.7320179009498,1263.9070358636004,1305.457388099104
Evil Geniuses,cr1t,5,1996-07-13,2016-11-10,Northern Arena BEAT Invitational,4,8000.0,1251.0635671723553,1196.9305312178626,1413.841538010233,1269.4112944415695
Evil Geniuses,cr1t,5,1996-07-13,2016-09-28,Mars Dota 2 League 2016 Autumn,1,112500.0,1171.663975737349,1197.7502840706945,1270.8368006541045,1344.0652401239124
OG,cr1t,4,1996-07-13,2016-08-02,The International 2016,9,311557.0,1215.0331369392072,1191.4527363718394,1275.1264138200302,1226.7395103699496
OG,cr1t,4,1996-07-13,2016-07-13,The Summit 5,2,22735.0,1307.361131326268,1293.0563231597428,1465.071275917864,1412.1987262958176
OG,cr1t,4,1996-07-13,2016-06-17,ESL One Frankfurt 2016,1,157273.0,1318.302192444341,1351.817177055469,1508.7070587150386,1540.3098310564392
OG,cr1t,4,1996-07-13,2016-06-03,The Manila Major 2016,1,1110000.0,1193.4056634289075,1305.7933250984902,1259.487550143922,1504.363372718745
OG,cr1t,4,1996-07-13,2016-05-09,EPICENTER 2016,3,60000.0,1103.0359032583376,1170.5982505294314,1172.2480061641195,1283.54909025198
OG,cr1t,4,1996-07-13,2016-04-14,StarLadder i-League Invitational #1,4,7500.0,1072.1359808131942,1119.8755650489663,1094.262571998157,1200.399340564919
OG,cr1t,4,1996-07-13,2016-03-19,Dota Pit League Season 4,3,25386.0,1110.3337439659917,1109.5771697216535,1157.0849136798495,1156.0077599860451
OG,cr1t,4,1996-07-13,2016-02-25,The Shanghai Major 2016,7,105000.0,1151.9961197257912,1134.3274957629114,1236.6610208559011,1179.1260586384672
OG,cr1t,4,1996-07-13,2016-01-27,MarsTV Dota 2 League 2015 Winter,3,27766.0,1146.6362193218833,1180.5258570208134,1221.4063326453095,1281.0823966460946
OG,cr1t,4,1996-07-13,2015-12-09,The Summit 4,4,11487.0,1196.2820923817587,1149.1804884815585,1222.0006998063175,1165.0670630801608
OG,cr1t,4,1996-07-13,2015-11-13,Frankfurt Major 2015,1,1110000.0,,1255.3115378081393,,1433.9955019290167
(monkey) Business,cr1t,4,1996-07-13,2015-10-16,MLG World Finals 2015,3,34194.0,1184.4273261636474,1187.231035535771,1303.7122875001946,1274.0861044605858
Meet Your Makers,cr1t,4,1996-07-13,2014-03-03,ASUS ROG DreamLeague Season 1,7,8000.0,,,,
Meet Your Makers,cr1t,4,1996-07-13,2014-03-28,Excellent Moscow Cup Season 1,4,2013.0,,,,
