,id,player,start,country,name,dob,team,tour,end,ageattour,elo32diff,cumelo,intage,std,mean,normal,quarterattour,intage2
0,0,33,2016-12-14,Israel,Neta Shapira,1997-04-17,Prodota Gaming,World Cyber Arena 2016,2016-12-16,7181,-10.31047101810384,-10.31047101810384,19,17.58462977343664,2.12373993934807,-0.7071067811865475,19,361
1,0,33,2017-05-02,Israel,Neta Shapira,1997-04-17,Prodota Gaming,Mr. Cat Invitational Europe,2017-05-18,7320,24.86842191490382,14.55795089679998,20,17.58462977343664,2.12373993934807,0.7071067811865475,20,400
2,1,BzzIsPerfect,2014-10-31,Russia,Stanislav Glushan,1992-11-09,Virtus.pro,XMG Captains Draft 2.0,2014-12-21,8026,1.3290722730848756,121.80308018983737,21,35.5135122079163,84.58560202979311,1.0479807781937192,21,441
3,1,BzzIsPerfect,2014-10-06,Russia,Stanislav Glushan,1992-11-09,Virtus.pro,ASUS ROG DreamLeague Season 2,2014-11-29,8001,70.65557801391446,120.4740079167525,21,35.5135122079163,84.58560202979311,1.010556367301782,21,441
4,1,BzzIsPerfect,2014-08-15,Russia,Stanislav Glushan,1992-11-09,Virtus.Pro,StarLadder StarSeries Season 10,2014-10-26,7949,50.78690626721436,50.78690626721436,21,35.5135122079163,84.58560202979311,-0.9517136904033022,21,441
5,1,BzzIsPerfect,2014-11-01,Russia,Stanislav Glushan,1992-11-09,Virtus.pro,MSI Beat IT 2014,2014-11-02,8027,-41.7574943175141,80.04558587232327,21,35.5135122079163,84.58560202979311,-0.12783912024499292,21,441
6,1,BzzIsPerfect,2014-08-25,Russia,Stanislav Glushan,1992-11-09,Virtus.Pro,Megafon Battle Arena,2014-08-26,7959,-0.968476364376329,49.818429902838034,21,35.5135122079163,84.58560202979311,-0.9789843348472062,21,441
7,2,7ckngMad,2015-01-21,France,Sébastien Debs,1992-05-11,Alliance,Dota Pit League Season 3,2015-07-12,8290,-57.04626083712208,9.410345122971194,22,122.20766880214344,-26.991363342311047,0.29786762829276536,22,484
8,2,7ckngMad,2015-06-20,France,Sébastien Debs,1992-05-11,Alliance,ESL One Frankfurt 2015,2015-06-21,8440,-0.00790098163508901,-227.31504262889928,23,122.20766880214344,-26.991363342311047,-1.6392071074599754,23,529
9,2,7ckngMad,2015-03-28,France,Sébastien Debs,1992-05-11,Alliance,ASUS ROG DreamLeague Season 3,2015-06-15,8356,-179.45446744134642,-79.53251601872489,22,122.20766880214344,-26.991363342311047,-0.42993335190346343,22,484
10,2,7ckngMad,2015-04-20,France,Sébastien Debs,1992-05-11,Alliance,joinDOTA MLG Pro League Season 2,2015-06-07,8379,-73.37650916926759,-227.3071416472642,22,122.20766880214344,-26.991363342311047,-1.6391424553664322,22,484
11,2,7ckngMad,2015-04-06,France,Sébastien Debs,1992-05-11,Alliance,i-League Season 3,2015-05-23,8365,-74.3981164592717,-153.9306324779966,22,122.20766880214344,-26.991363342311047,-1.0387177038881468,22,484
12,2,7ckngMad,2015-03-09,France,Sébastien Debs,1992-05-11,Alliance,StarLadder StarSeries Season 12,2015-04-26,8337,90.51160629965034,99.92195142262153,22,122.20766880214344,-26.991363342311047,1.0385053246568974,22,484
13,2,7ckngMad,2014-03-03,France,Sébastien Debs,1992-05-11,Sigma.int,ASUS ROG DreamLeague Season 1,2014-06-16,7966,-3.0765155472906827,68.60226157272837,21,122.20766880214344,-26.991363342311047,0.7822228003531212,21,441
14,2,7ckngMad,2014-02-09,France,Sébastien Debs,1992-05-11,Sigma.int,Dota 2 Champions League Season 2,2014-04-15,7944,11.617396626501886,18.549903879476346,21,122.20766880214344,-26.991363342311047,0.3726547414591434,21,441
15,2,7ckngMad,2013-11-25,France,Sébastien Debs,1992-05-11,Sigma.int,StarLadder StarSeries Season 8,2014-01-19,7868,-27.438495584398197,50.41084912762415,21,122.20766880214344,-26.991363342311047,0.633366246395313,21,441
16,2,7ckngMad,2013-08-31,France,Sébastien Debs,1992-05-11,Quantic Gaming,StarLadder StarSeries Season 7,2013-10-13,7782,77.84934471202234,77.84934471202234,21,122.20766880214344,-26.991363342311047,0.8578897632363195,21,441
17,2,7ckngMad,2015-05-03,France,Sébastien Debs,1992-05-11,Alliance,RoG Play It Cool Dota 2 Invitational,2015-05-03,8392,0.0,-227.3071416472642,22,122.20766880214344,-26.991363342311047,-1.6391424553664322,22,484
